Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0527910074654357,0.0895412065193495,0.0546228756098573,0,0,0,0.58722731346914,0.00329941636083391,-3.23221668544828E-08,-3.9626268200619E-10,0.000709920106006346,3.41899882366905E-05,0.00286505065874297,0,0,0,0,0,0,package://main_car/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_car/meshes/base_link.STL,,Chassis Base-1;A5 - fire_truck 1.0-4;A5 - fire_truck 1.0-6;A5 - ladder 2.0-1;A5 - a5_tabs 1.0-2;A5 - a5_tabs 1.0-3;A5 - ladder 2.0-2;Gear box v5-2;Gear box v5-1;A5 - Rack Wall 2.0-1;A5 - Rack Wall 2.0-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel_rot,0.0140059336705226,-0.000298132524582467,2.01352007983546E-11,0,0,0,0.0632357163080549,9.1908554611613E-05,-8.09825499877721E-07,1.20157582111866E-14,5.3881091035979E-05,2.79976255176767E-14,5.38638529333492E-05,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_rot.STL,,A5 - Wheel 2.0-1,front_left_wheel_coord,front_axle,front_left_wheel_rot_j,continuous,-0.0212429479041969,0.211254558119221,0.0117,0,0,0,base_link,0.999773526729787,-0.0212813357260371,0,,,,,,,,,,,,
front_right_wheel_rot,-0.0140091063539903,3.84884682902431E-07,2.00286228574376E-11,0,0,0,0.063235716308098,9.19257926635391E-05,-1.04565885374145E-09,-1.11206332803865E-14,5.38638529486252E-05,2.78948552972781E-14,5.3863852984284E-05,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_rot.STL,,A5 - Wheel 2.0-4,front_right_wheel_coord,front_axle,front_right_wheel_rot_j,continuous,0.131001462865903,0.210751140085241,0.0117,0,0,0,base_link,0.999773526729787,-0.0212813357260373,0,,,,,,,,,,,,
back_right_wheel_rot,-0.0140091063592719,2.58138736081159E-11,2.29399832463173E-12,0,0,0,0.0632357163080608,9.19257927908156E-05,-2.17957699494684E-14,3.00941144706054E-15,5.38638530150891E-05,3.81958524520263E-15,5.38638529876316E-05,0,0,0,0,0,0,package://main_car/meshes/back_right_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/back_right_wheel_rot.STL,,A5 - Wheel 2.0-3,back_right_wheel_coord,rear_axle,back_right_wheel_rot_j,continuous,0.166149999999796,0.00849999999999998,0.0147,0,0,0,base_link,1,0,0,,,,,,,,,,,,
back_left_wheel_rot,0.0140091063592776,2.88698388112296E-11,-1.99776098441795E-11,0,0,0,0.0632357163080669,9.19257927875312E-05,2.78834430123702E-14,-1.11056897698667E-14,5.38638529869603E-05,-1.47196585190975E-17,5.38638530124792E-05,0,0,0,0,0,0,package://main_car/meshes/back_left_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/back_left_wheel_rot.STL,,A5 - Wheel 2.0-2,back_left_wheel_coord,rear_axle,back_left_wheel_rot_j,continuous,-0.0488500000002041,0.00849999999999978,0.0147000000000001,0,0,0,base_link,1,0,0,,,,,,,,,,,,
front_left_wheel_steer,0.0140059336705226,-0.00029813252458244,2.01352007983546E-11,0,0,0,0.0632357163080549,9.1908554611613E-05,-8.09825499877721E-07,1.20157593081703E-14,5.3881091035979E-05,2.79976252822301E-14,5.38638529333492E-05,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_steer.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_steer.STL,,A5 - Wheel 2.0-1,front_left_wheel_coord,front_left_steer_rod,front_left_wheel_steer_j,revolute,-0.0212429479041969,0.211254558119221,0.0117,0,0,0,base_link,0,0,-1,0,0.5,5.6723,0.61087,,,,,,,,
front_right_wheel_steer,-0.0140091063539903,3.84884682902431E-07,2.00286228574376E-11,0,0,0,0.063235716308098,9.19257926635391E-05,-1.0456588537411E-09,-1.11206335986572E-14,5.38638529486252E-05,2.78948558002588E-14,5.3863852984284E-05,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_steer.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_steer.STL,,A5 - Wheel 2.0-4,front_right_wheel_coord,front_right_steer_rod,front_right_wheel_steer_j,revolute,0.131001462865903,0.210751140085241,0.0117,0,0,0,base_link,0,0,-1,0,0.5,5.6723,0.61087,,,,,,,,
