Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0530673653634435,0.091337893593515,0.0594021087043407,0,0,0,0.616866978201299,0.00451892150568516,-4.61819811352611E-08,-2.58614294696865E-09,0.000759940780752405,-0.000120732123334739,0.00403473432084843,0,0,0,0,0,0,package://main_car/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://main_car/meshes/base_link.STL,,Chassis Base-1;A5 - fire_truck 1.0-4;A5 - fire_truck 1.0-6;A5 - ladder 2.0-1;A5 - a5_tabs 1.0-2;A5 - a5_tabs 1.0-3;A5 - ladder 2.0-2;Gear box v5-2;Gear box v5-1;A5 - Rack Wall 2.0-1;A5 - Rack Wall 2.0-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_wheel_rot,0.0140059336705225,-0.000298132524582662,2.0135971015578E-11,0,0,0,0.0632357163080549,9.19085546063061E-05,-8.09825500043694E-07,1.25132504922793E-14,5.38810910412805E-05,2.26921494959108E-14,5.38638529227305E-05,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_rot.STL,,A5 - Wheel 2.0-1,front_left_wheel_coord,front_axle,front_left_wheel_rot_j,continuous,-0.0212429479041969,0.211254558119221,0.0117,0,0,0,base_link,0.999773526729787,-0.0212813357260371,0,,,,,,,,,,,,
front_right_wheel_rot,-0.0140091063539903,3.84884683179987E-07,2.00283227502762E-11,0,0,0,0.063235716308098,9.1925792684697E-05,-1.04565885402228E-09,-1.11220426362072E-14,5.38638529697828E-05,2.26052393516739E-14,5.38638529842843E-05,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_rot.STL,,A5 - Wheel 2.0-4,front_right_wheel_coord,front_axle,front_right_wheel_rot_j,continuous,0.131,0.21075,0.0117,0,0,0,base_link,0.99977,-0.021281,0,,,,,,,,,,,,
back_right_wheel_rot,-0.0140091063592719,2.58148277060277E-11,2.29432965681564E-12,0,0,0,0.0632357163080607,9.19257927656535E-05,-2.17969582614652E-14,3.00934958865257E-15,5.38638529938994E-05,-1.47880436948043E-15,5.38638529836592E-05,0,0,0,0,0,0,package://main_car/meshes/back_right_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/back_right_wheel_rot.STL,,A5 - Wheel 2.0-3,back_right_wheel_coord,rear_axle,back_right_wheel_rot_j,continuous,0.16615,0.0085,0.0147,0,0,0,base_link,1,0,0,,,,,,,,,,,,
back_left_wheel_rot,0.0140091063592776,2.88695456429622E-11,-1.99775005566005E-11,0,0,0,0.0632357163080669,9.19257927664119E-05,2.78823040490674E-14,-1.11055930818235E-14,5.38638529869598E-05,-1.53344977748203E-17,5.38638529913604E-05,0,0,0,0,0,0,package://main_car/meshes/back_left_wheel_rot.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/back_left_wheel_rot.STL,,A5 - Wheel 2.0-2,back_left_wheel_coord,rear_axle,back_left_wheel_rot_j,continuous,-0.0488500000002041,0.00849999999999978,0.0147000000000001,0,0,0,base_link,1,0,0,,,,,,,,,,,,
front_left_wheel_steer,0.0140059336705225,-0.000298132524582634,2.01359692808545E-11,0,0,0,0.0632357163080549,9.19085546063061E-05,-8.09825500043695E-07,1.25132506942277E-14,5.38810910412805E-05,2.2692149103525E-14,5.38638529227305E-05,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_steer.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_left_wheel_steer.STL,,A5 - Wheel 2.0-1,front_left_wheel_coord,front_left_steer_rod,front_left_wheel_steer_j,revolute,-0.021243,0.21125,0.0117,0,0,0,base_link,0,0,-1,0,0.5,5.6723,0.61087,,,,,,,,
front_right_wheel_steer,-0.0140091063539903,3.84884683179987E-07,2.00283210155527E-11,0,0,0,0.063235716308098,9.1925792684697E-05,-1.04565885402314E-09,-1.11220428123062E-14,5.38638529697828E-05,2.26052384346766E-14,5.38638529842843E-05,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_steer.STL,0,0.96078431372549,0.298039215686275,1,0,0,0,0,0,0,package://main_car/meshes/front_right_wheel_steer.STL,,A5 - Wheel 2.0-4,front_right_wheel_coord,front_right_steer_rod,front_right_wheel_steer_j,revolute,0.131,0.21075,0.0117,0,0,0,base_link,0,0,-1,0,0.5,5.6723,0.61087,,,,,,,,
